1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
50,0.004986271,0.011476129,0.010837704,0.009421112,0.012122221,0.011551207,0.01174262,0.01133831,0.009913222,0.011206237,0.011547444,0.011855651,0.012134534,0.012387938,0.012619844,0.012834341,0.014687218,0.014876204,0.015048966,0.015208355,0.015357255,0.01736982,0.017499582,0.017618234,0.017727475,0.017829018,0.019997254,0.020081013,0.020157185,0.020226782,0.020290819,0.027582515,0.027645288
51,0.004911607,0.012905331,0.00986296,0.008151418,0.011322125,0.010767126,0.010896658,0.010947547,0.009913222,0.009091292,0.009384674,0.009650021,0.009890394,0.010109024,0.010309284,0.010494661,0.013036773,0.013210414,0.013369208,0.013515759,0.013652708,0.015497131,0.015616935,0.015726504,0.015827402,0.015921205,0.017922328,0.017999894,0.018070441,0.018134906,0.018194226,0.025033146,0.025091865
52,0.004911607,0.016876509,0.008984605,0.007071343,0.009742999,0.010047477,0.010122795,0.010573252,0.009526917,0.008594971,0.007569036,0.007795482,0.008000866,0.008187874,0.008359334,0.008518189,0.010669712,0.010819988,0.010957493,0.011084462,0.011203169,0.013781391,0.013891639,0.01399249,0.014085379,0.014171753,0.016007376,0.016078982,0.016144117,0.016203641,0.016258421,0.022621566,0.022676315
53,0.004880004,0.016876509,0.00781479,0.006798388,0.008420311,0.008634365,0.009415502,0.01021491,0.009158999,0.008594971,0.007395972,0.006322235,0.006428069,0.006586713,0.006732315,0.006867338,0.008668294,0.008797263,0.008915345,0.00902444,0.009126487,0.011314735,0.011410376,0.011497896,0.011578532,0.011653533,0.014251079,0.014316979,0.014376931,0.014431725,0.014482157,0.020361151,0.020412036
54,0.004848362,0.01638762,0.00766134,0.006798388,0.007302637,0.007455244,0.008768362,0.009424377,0.008808774,0.008220861,0.007395972,0.006322235,0.005372172,0.005265687,0.00538837,0.00550225,0.006995015,0.007104811,0.007205404,0.007298397,0.00738543,0.009222423,0.009304716,0.00938005,0.009449481,0.00951408,0.011722198,0.011779063,0.011830804,0.011878102,0.011921642,0.01825923,0.018306375
55,0.004816685,0.015913223,0.00766134,0.008155006,0.006351922,0.006462138,0.007479881,0.008706105,0.008028948,0.007866597,0.007065561,0.006040214,0.005372172,0.004540389,0.00428836,0.004383705,0.005610017,0.005702776,0.005787818,0.005866484,0.005940151,0.007467277,0.007537529,0.007601864,0.007661181,0.007716388,0.009573051,0.009621744,0.00966606,0.009706577,0.009743881,0.016318337,0.016361882
56,0.004812751,0.015453151,0.009092846,0.009485251,0.005965234,0.005619707,0.00641564,0.008054178,0.007330544,0.007531309,0.006753122,0.005773496,0.005071347,0.004540389,0.003819064,0.003474686,0.004474005,0.004551803,0.00462318,0.004689248,0.004751154,0.006009453,0.006068976,0.006123508,0.006173805,0.006220634,0.007766651,0.007808042,0.007845719,0.007880173,0.007911901,0.014537234,0.01457733
57,0.004812751,0.014088764,0.010495591,0.010789204,0.005965234,0.005184397,0.005527358,0.007461773,0.006705657,0.006775149,0.006457841,0.005521396,0.004842886,0.004265266,0.003819064,0.003198851,0.003549832,0.003614634,0.003674133,0.003729243,0.003780913,0.004809415,0.004859487,0.004905382,0.004947728,0.004987169,0.006263165,0.006298101,0.006329909,0.006359003,0.006385799,0.011968345,0.01200297
58,0.004770719,0.012845567,0.011869655,0.014875193,0.007244251,0.005184397,0.004779986,0.0063392,0.006145626,0.00610833,0.005753459,0.004903981,0.004627229,0.004056022,0.003567444,0.003198851,0.002669847,0.002465449,0.002508406,0.002548221,0.002585572,0.003829562,0.0038714,0.003909764,0.003945178,0.003978173,0.00502291,0.0050522,0.005078875,0.005103278,0.005125757,0.009783213,0.009812887
59,0.004729055,0.011714911,0.015882363,0.018714816,0.008499395,0.006408914,0.004468933,0.005417336,0.005185443,0.005520756,0.005139494,0.004367842,0.004423509,0.003859511,0.003376369,0.002969178,0.002669847,0.00221847,0.001837246,0.001723114,0.001749748,0.00262075,0.002651025,0.002678798,0.002704444,0.002728348,0.004008012,0.004032413,0.00405464,0.004074979,0.004093718,0.007944808,0.007970053
60,0.004687763,0.010686809,0.019660949,0.022320822,0.009730735,0.007611193,0.004468933,0.004651837,0.004403555,0.005001851,0.004604599,0.003902471,0.003960021,0.003674807,0.003197951,0.002795177,0.002477214,0.00221847,0.001837246,0.001516607,0.001248349,0.001774841,0.001796451,0.001816284,0.001834606,0.001851688,0.002749901,0.002767472,0.002783481,0.002798132,0.002811634,0.006413159,0.006434485
61,0.004293612,0.008938069,0.022327875,0.025709019,0.013888754,0.008791297,0.005652393,0.004010788,0.003759114,0.004180509,0.004137291,0.003497343,0.00355359,0.003266257,0.003031195,0.002633745,0.002301214,0.002033297,0.001683252,0.001516607,0.001248349,0.001190516,0.001205752,0.001219742,0.00123267,0.001244729,0.001867049,0.001879536,0.001890915,0.001901331,0.001910932,0.00514837,0.005166267
62,0.003932931,0.007560189,0.022327875,0.02722287,0.017788308,0.013001198,0.006814776,0.003822546,0.003248411,0.003519239,0.003421812,0.002864706,0.00319749,0.002910918,0.002673158,0.002483815,0.002140506,0.00186652,0.00154461,0.001368493,0.001126071,0.001024667,0.000838445,0.000811961,0.000820984,0.000829403,0.001255545,0.001264313,0.001272305,0.001279622,0.001286368,0.004112304,0.004127228
63,0.003603126,0.007560189,0.021558603,0.02722287,0.021444434,0.01694294,0.007956142,0.003822546,0.003248411,0.002980002,0.002853349,0.002368125,0.00288477,0.002602129,0.002364515,0.002171697,0.001835572,0.001716391,0.001419858,0.001237472,0.00101794,0.001024667,0.000838445,0.000684283,0.000557298,0.000548428,0.000836937,0.000843029,0.000848582,0.000853668,0.000858357,0.002824758,0.002835513
64,0.003301531,0.007514139,0.02081711,0.026118567,0.024874947,0.020633504,0.012201285,0.004974834,0.004343343,0.002744406,0.002394948,0.001971882,0.00234724,0.002333103,0.002098692,0.001905247,0.001580883,0.001458299,0.001193523,0.001121622,0.000922361,0.00092807,0.000758464,0.000684283,0.000557298,0.000452877,0.000553627,0.00055782,0.000561644,0.000565146,0.000568375,0.001920086,0.001927736
65,0.002498169,0.007468047,0.020102832,0.025248275,0.031297649,0.02409243,0.01617067,0.005901611,0.005419758,0.002744406,0.002304541,0.001925711,0.001928465,0.001878772,0.001869086,0.001677991,0.001368397,0.001244848,0.001008709,0.000932185,0.000757054,0.000842243,0.000687499,0.000618011,0.000502828,0.000452877,0.000367491,0.000366743,0.000369355,0.000371748,0.000373955,0.001292681,0.001298057
66,0.002175119,0.00742192,0.018442553,0.02440954,0.031637195,0.030546514,0.019882916,0.006814768,0.006477698,0.003811738,0.002304541,0.001925711,0.001603987,0.001529479,0.001488731,0.001483529,0.001190378,0.001068582,0.000857946,0.000779368,0.000625677,0.000766021,0.000624564,0.000559317,0.000454639,0.000408048,0.000367491,0.000297159,0.000239911,0.00021041,0.000211742,0.000862667,0.000866405
