1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
69,0.000124612,0.000719979,0.00122551,0.001748278,0.002127995,0.002659224,0.003042006,0.002902074,0.003321871,0.003479981,0.003686854,0.00392767,0.004124975,0.004295389,0.004438766,0.00455969,0.004654281,0.00471806,0.004758676,0.004785483,0.00477471,0.004886959,0.004878581,0.00329998,0.003436311,0.003107136,0.003191783,0.002792569,0.002830836,0.002379338,0.002392742,0.001909884,0.001954784
70,0.000124612,0.000721298,0.001296434,0.00180782,0.002165284,0.002699586,0.003167006,0.002961396,0.003393836,0.003544703,0.00374574,0.003977265,0.004133877,0.004302275,0.004443653,0.00455969,0.004654821,0.00471806,0.004758676,0.004775657,0.00477471,0.004849385,0.004816282,0.003307102,0.00344182,0.003110557,0.003191783,0.002792893,0.002830836,0.002379338,0.002387829,0.001909884,0.001939754
71,0.00012469,0.000721298,0.001348369,0.001861775,0.00225331,0.002739492,0.003167006,0.003020857,0.003548566,0.003609488,0.00380264,0.004025376,0.004173593,0.004308929,0.004448289,0.004562362,0.004655167,0.004716609,0.004755363,0.004775657,0.004768182,0.004756635,0.004719796,0.003338874,0.003447143,0.003113802,0.003193653,0.0027931,0.002829965,0.002377682,0.002387829,0.001907273,0.001902654
72,0.000124762,0.000724543,0.001361358,0.001953955,0.002336451,0.002837663,0.003208906,0.003163137,0.003716697,0.003676245,0.003860174,0.004074756,0.004212397,0.004338315,0.00445272,0.004564809,0.004655367,0.004714992,0.00475191,0.004770658,0.004761567,0.004756635,0.004719796,0.003369918,0.003470652,0.003116904,0.003195366,0.00279322,0.002828995,0.002375955,0.002385329,0.001904627,0.001902654
73,0.000124829,0.000727932,0.001361358,0.002019655,0.002413117,0.002929914,0.003250454,0.003313688,0.003895919,0.003822791,0.00392038,0.004127545,0.004253142,0.004367434,0.004472049,0.004567081,0.004656132,0.004713257,0.00474837,0.004765545,0.004754917,0.00474871,0.004710643,0.003402514,0.003493947,0.003130434,0.003196957,0.002793679,0.002827954,0.002374185,0.002382773,0.001901967,0.001899484
74,0.000125156,0.000731448,0.001362858,0.002034166,0.002482158,0.003014399,0.003291443,0.003472392,0.004079982,0.003986225,0.004056153,0.004250791,0.004298046,0.00439916,0.004491748,0.00457683,0.004658449,0.004705831,0.004733516,0.004760373,0.004727818,0.004740722,0.00470145,0.003438437,0.003519328,0.003144224,0.003203781,0.002795069,0.002823499,0.002366758,0.002380187,0.001891127,0.001896289
75,0.000124827,0.00074698,0.001364333,0.002034166,0.002593198,0.003089803,0.003395666,0.003635836,0.004162713,0.00416417,0.004212462,0.004398281,0.004407841,0.00443573,0.004514686,0.00458756,0.004665131,0.004700487,0.004721218,0.004739053,0.004704046,0.004732725,0.004692271,0.003526273,0.003548584,0.00316028,0.003211292,0.002799079,0.002820292,0.002360609,0.002369527,0.001881618,0.00189309
76,0.000123816,0.000763203,0.001365785,0.002036014,0.002670531,0.003209845,0.003492861,0.003685118,0.004162713,0.004349938,0.004386874,0.004567528,0.004545566,0.004531501,0.004543101,0.004602116,0.004678381,0.004699981,0.004714167,0.004720701,0.004686157,0.004700647,0.00465606,0.003636453,0.003625201,0.003180171,0.003221481,0.002807029,0.002819989,0.002357084,0.002360351,0.001874463,0.001880259
77,0.000122143,0.000779176,0.001373546,0.002037826,0.002692605,0.00328948,0.003581059,0.003685118,0.004204129,0.004535489,0.00457231,0.004751119,0.004708692,0.004658817,0.004624834,0.004622721,0.004733126,0.00470648,0.004714486,0.00470794,0.004676172,0.004672201,0.00462373,0.003766954,0.003727054,0.003237384,0.003235905,0.002839876,0.002823888,0.002357243,0.00235397,0.001870469,0.00186888
78,0.00011992,0.000794129,0.001381122,0.002039605,0.002692605,0.003310643,0.003658889,0.00372725,0.004244897,0.004596488,0.004760183,0.004939981,0.00488952,0.004815133,0.004741541,0.004690716,0.004828994,0.004748845,0.004745238,0.004702838,0.004686925,0.004649864,0.004597676,0.003911616,0.003852106,0.003319079,0.003283501,0.002897396,0.002849307,0.002372619,0.002351419,0.00187477,0.001859946
